n,trials,best_c_log,best_alpha,best_d_max,best_m,mean_c_log,median_c_log,std_c_log,mean_alpha,median_alpha,mean_d_max,median_d_max,mean_m,median_m,elapsed_s
10,10,1.004599,3,6,28,1.40548,1.438915,0.211247,3.9,4.0,7.0,7.0,29.7,30.5,0.151
15,10,1.158119,4,10,56,1.377551,1.365359,0.082794,4.9,5.0,9.5,9.5,59.7,60.0,0.529
20,10,1.146839,5,11,99,1.348221,1.376207,0.161805,5.6,6.0,11.9,11.5,101.0,99.5,0.974
25,10,1.273182,6,14,149,1.505981,1.485379,0.148952,7.0,7.0,14.3,14.0,149.7,149.0,2.228
30,10,1.237816,7,14,200,1.468601,1.538875,0.121659,7.6,8.0,16.1,16.0,206.0,206.0,4.395
35,10,1.319035,8,16,254,1.468487,1.423445,0.117233,8.4,8.0,17.5,18.0,260.4,260.0,7.556
40,10,1.290568,8,19,325,1.493618,1.502137,0.10097,9.1,9.0,19.5,19.5,322.8,322.0,10.474
45,10,1.335233,9,20,390,1.471909,1.5082,0.089232,9.6,10.0,21.0,21.0,397.1,396.0,14.878
50,10,1.379527,10,21,469,1.494327,1.467073,0.082757,10.4,10.0,22.3,22.0,472.8,472.0,18.474
55,10,1.423468,11,22,551,1.516024,1.467073,0.101522,11.2,11.0,23.5,23.0,552.1,552.0,24.929
60,10,1.384495,11,24,633,1.49283,1.463022,0.094238,11.5,11.0,25.1,25.0,638.9,636.5,34.525
65,10,1.473253,12,26,733,1.563385,1.531846,0.082731,12.4,12.0,27.0,27.0,739.5,738.0,55.269
70,10,1.368021,12,26,825,1.50942,1.5214,0.067723,12.7,13.0,27.6,28.0,831.0,828.5,75.628
75,10,1.419973,13,27,898,1.565287,1.588076,0.076304,13.7,14.0,28.8,29.0,926.1,930.5,92.315
80,10,1.399491,13,29,1042,1.55844,1.543574,0.085111,14.1,14.0,30.1,30.0,1038.1,1037.0,148.643
85,10,1.452776,14,30,1134,1.569162,1.593072,0.090991,14.7,15.0,31.2,31.0,1143.1,1141.0,179.965
90,10,1.436283,14,32,1269,1.552524,1.555936,0.048831,15.0,15.0,32.4,32.0,1258.4,1258.0,219.737
95,10,1.490209,15,33,1360,1.576333,1.589556,0.057924,15.8,16.0,33.2,33.0,1374.4,1373.5,263.549
100,10,1.476649,15,35,1476,1.568505,1.575092,0.054197,16.1,16.0,34.5,35.0,1489.2,1490.0,285.725
