method,n,seed,num_edges,d_max,d_mean,d_std,d_gini,alpha,c_log,build_time_s
high_degree,10,101524,17,9,3.4,2.8,0.3294,8,3.2769,0.0
high_degree,10,101525,17,9,3.4,2.8,0.3294,8,3.2769,0.0
high_degree,10,101526,17,9,3.4,2.8,0.3294,8,3.2769,0.0
low_degree,10,107905,33,7,6.6,0.49,0.0364,4,1.4389,0.0
low_degree,10,107906,33,7,6.6,0.49,0.0364,4,1.4389,0.0
low_degree,10,107907,33,7,6.6,0.49,0.0364,4,1.4389,0.0
random,10,108093,31,8,6.2,1.249,0.1065,5,1.9236,0.0
random,10,108094,33,7,6.6,0.49,0.0364,4,1.4389,0.0
random,10,108095,33,7,6.6,0.49,0.0364,4,1.4389,0.0
max_neighbors,10,101316,17,9,3.4,2.8,0.3294,8,3.2769,0.0
max_neighbors,10,101317,17,9,3.4,2.8,0.3294,8,3.2769,0.0
max_neighbors,10,101318,17,9,3.4,2.8,0.3294,8,3.2769,0.0
random_edge_capped,10,109377,19,4,3.8,0.6,0.0474,4,1.1542,0.0
random_edge_capped,10,109378,19,4,3.8,0.6,0.0474,4,1.1542,0.0
random_edge_capped,10,109379,19,4,3.8,0.6,0.0474,5,1.4427,0.0
high_degree,15,151524,27,14,3.6,4.079,0.3852,13,4.5976,0.0
high_degree,15,151525,27,14,3.6,4.079,0.3852,13,4.5976,0.0
high_degree,15,151526,27,14,3.6,4.079,0.3852,13,4.5976,0.0
low_degree,15,157905,75,10,10.0,0.0,0.0,5,1.4476,0.0
low_degree,15,157906,75,10,10.0,0.0,0.0,5,1.4476,0.0
low_degree,15,157907,75,10,10.0,0.0,0.0,5,1.4476,0.0
random,15,158093,74,11,9.867,0.806,0.0441,6,1.8349,0.0
random,15,158094,75,10,10.0,0.0,0.0,5,1.4476,0.0
random,15,158095,75,10,10.0,0.0,0.0,5,1.4476,0.0
max_neighbors,15,151316,27,14,3.6,4.079,0.3852,13,4.5976,0.0
max_neighbors,15,151317,27,14,3.6,4.079,0.3852,13,4.5976,0.0
max_neighbors,15,151318,27,14,3.6,4.079,0.3852,13,4.5976,0.0001
random_edge_capped,15,159377,45,6,6.0,0.0,0.0,5,1.1162,0.0
random_edge_capped,15,159378,45,6,6.0,0.0,0.0,5,1.1162,0.0001
random_edge_capped,15,159379,44,6,5.867,0.34,0.0197,5,1.1162,0.0
high_degree,20,201524,37,19,3.7,5.1,0.4135,18,5.8076,0.0
high_degree,20,201525,37,19,3.7,5.1,0.4135,18,5.8076,0.0
high_degree,20,201526,37,19,3.7,5.1,0.4135,18,5.8076,0.0
low_degree,20,207905,133,14,13.3,0.458,0.0158,7,1.8567,0.0001
low_degree,20,207906,133,14,13.3,0.458,0.0158,7,1.8567,0.0001
low_degree,20,207907,133,14,13.3,0.458,0.0158,7,1.8567,0.0001
random,20,208093,133,14,13.3,0.458,0.0158,7,1.8567,0.0001
random,20,208094,132,14,13.2,0.98,0.0364,8,2.122,0.0001
random,20,208095,133,14,13.3,0.458,0.0158,7,1.8567,0.0001
max_neighbors,20,201316,37,19,3.7,5.1,0.4135,18,5.8076,0.0
max_neighbors,20,201317,37,19,3.7,5.1,0.4135,18,5.8076,0.0001
max_neighbors,20,201318,37,19,3.7,5.1,0.4135,18,5.8076,0.0
random_edge_capped,20,209377,69,7,6.9,0.3,0.013,6,1.0792,0.0
random_edge_capped,20,209378,68,7,6.8,0.4,0.0235,6,1.0792,0.0001
random_edge_capped,20,209379,68,7,6.8,0.51,0.0257,7,1.2591,0.0
