n,cayley_c,cayley_source,noncayley_c,noncayley_source,gap,winner
10,0.865617,circulant,0.865617,random,0.0,tie
11,0.786925,circulant,0.786925,sat_exact,0.0,tie
12,0.776669,circulant,0.776669,sat_exact,0.0,tie
13,0.772769,cayley,0.772769,sat_exact,0.0,tie
14,0.824397,circulant,0.717571,sat_exact,0.10682600000000009,non_cayley
15,0.892977,circulant,0.719458,sat_exact,0.17351899999999998,non_cayley
16,0.721348,circulant,0.721348,sat_exact,0.0,tie
17,0.678915,cayley,0.678915,sat_exact,0.0,tie
18,0.744148,circulant,0.744148,sat_exact,0.0,tie
19,0.704982,cayley,0.704982,sat_exact,0.0,tie
20,0.719458,cayley_tabu,0.719458,sat_exact,0.0,tie
21,0.732797,circulant,0.732797,sat_regular,0.0,tie
22,0.699489,circulant,0.987033,regularity,-0.287544,cayley
23,0.836345,circulant,1.003614,random,-0.167269,cayley
24,0.721348,circulant,1.035558,random,-0.31421,cayley
25,0.803679,circulant,0.923325,alpha_targeted,-0.11964599999999992,cayley
26,0.772769,circulant,1.002218,regularity,-0.22944900000000001,cayley
27,0.804249,circulant,0.965099,srg_catalog,-0.16085000000000005,cayley
28,0.775526,circulant,0.998574,regularity,-0.2230479999999999,cayley
29,0.79597,circulant,0.928631,random,-0.13266100000000003,cayley
30,0.769437,circulant,0.955751,random_regular_switch,-0.18631399999999998,cayley
31,0.778896,circulant,1.023848,regularity,-0.24495200000000006,cayley
32,0.721348,circulant,0.991853,regularity,-0.270505,cayley
33,0.73169,circulant,1.035558,random,-0.303868,cayley
34,0.678915,circulant,1.018373,blowup,-0.3394579999999999,cayley
35,0.824397,circulant,0.956761,regularity,-0.13236399999999993,cayley
36,0.744148,circulant,1.023203,random,-0.27905500000000005,cayley
37,0.81454,cayley,1.00757,regularity,-0.19303000000000003,cayley
38,0.704982,circulant,1.016664,blowup,-0.311682,cayley
39,0.772769,circulant,1.002218,random,-0.22944900000000001,cayley
40,0.721348,circulant,1.009887,regularity,-0.288539,cayley
41,0.77633,cayley_tabu,,,,cayley_only
42,0.732797,circulant_fast,1.099196,blowup,-0.36639900000000003,cayley
43,0.80799,sat_circulant_optimal,,,,cayley_only
44,0.699489,circulant_fast,,,,cayley_only
45,0.769437,cayley_tabu,,,,cayley_only
46,0.75271,cayley_tabu,,,,cayley_only
47,0.821984,sat_circulant_optimal,,,,cayley_only
48,0.721348,circulant_fast,,,,cayley_only
49,0.788434,sat_circulant_optimal,,,,cayley_only
50,0.803679,circulant_fast,1.115032,alpha_targeted,-0.311353,cayley
51,0.678915,circulant_fast,1.332669,blowup,-0.6537540000000001,cayley
52,0.772769,circulant_fast,,,,cayley_only
53,0.820045,cayley_tabu,,,,cayley_only
54,0.744148,circulant_fast,,,,cayley_only
55,0.786925,circulant_fast,,,,cayley_only
56,0.721348,circulant_fast,,,,cayley_only
57,0.704982,circulant_fast,1.012418,polarity,-0.30743600000000004,cayley
58,0.79597,circulant_fast,1.193955,blowup,-0.39798500000000014,cayley
59,0.782479,cayley_tabu,,,,cayley_only
60,0.719458,cayley_tabu,1.107808,alpha_targeted,-0.38834999999999986,cayley
61,0.85435,sat_circulant_optimal,,,,cayley_only
62,0.778896,sat_circulant_optimal,,,,cayley_only
63,0.732797,circulant_fast,1.438436,blowup,-0.705639,cayley
64,0.721348,circulant_fast,,,,cayley_only
65,0.772769,circulant_fast,,,,cayley_only
66,0.699489,circulant_fast,,,,cayley_only
67,0.849832,cayley,,,,cayley_only
68,0.678915,circulant_fast,,,,cayley_only
69,0.836345,circulant_fast,,,,cayley_only
70,0.824397,circulant_fast,1.154156,random_regular_switch,-0.3297589999999999,cayley
71,0.884212,sat_circulant_optimal,,,,cayley_only
72,0.721348,circulant_fast,,,,cayley_only
73,0.892386,sat_circulant_optimal,,,,cayley_only
74,0.81454,circulant_fast,,,,cayley_only
75,0.803679,circulant_fast,1.494617,blowup,-0.690938,cayley
76,0.704982,circulant_fast,,,,cayley_only
77,0.786925,circulant_fast,,,,cayley_only
78,0.772769,circulant_fast,,,,cayley_only
79,0.909128,cayley,,,,cayley_only
80,0.721348,circulant_fast,1.16767,alpha_targeted,-0.446322,cayley
81,0.85493,circulant_fast,,,,cayley_only
82,0.844504,circulant_fast,,,,cayley_only
83,0.927033,circulant_fast,,,,cayley_only
84,0.732797,circulant_fast,,,,cayley_only
85,0.678915,circulant_fast,,,,cayley_only
86,0.894695,circulant_fast,,,,cayley_only
87,0.79597,circulant_fast,1.56244,blowup,-0.7664700000000001,cayley
88,0.699489,circulant_fast,,,,cayley_only
89,0.90301,circulant_fast,,,,cayley_only
90,0.744148,circulant_fast,,,,cayley_only
91,0.772769,circulant_fast,2.069638,blowup,-1.2968689999999998,cayley
92,0.836345,circulant_fast,,,,cayley_only
93,0.864171,circulant_fast,,,,cayley_only
94,0.854978,circulant_fast,,,,cayley_only
95,0.704982,circulant_fast,,,,cayley_only
96,0.721348,circulant_fast,,,,cayley_only
97,0.932102,circulant_fast,,,,cayley_only
98,0.824397,circulant_fast,,,,cayley_only
99,0.786925,circulant_fast,,,,cayley_only
100,0.865617,sat_circulant,1.20171,random_regular_switch,-0.3360930000000001,cayley
