n,alpha_target,alpha_achieved,d_max,num_edges,c_value,trials,time_seconds,phase
10,3,3,4,20,0.8656170245333781,1,3.87,grasp
10,4,3,7,31,1.0791865189764767,1,3.87,grasp
10,5,5,2,10,1.4426950408889634,1,4.69,grasp
15,4,4,5,37,0.8284465794128157,7,12.87,grasp
15,5,5,3,21,0.9102392266268374,15,13.14,grasp
15,6,6,3,22,1.0922870719522049,1,14.11,grasp
15,7,4,10,64,1.1581186184086714,23,12.92,grasp
20,5,5,6,60,0.8371659398268709,7,28.33,grasp
20,6,6,5,50,0.9320024018394177,1,27.65,grasp
20,7,7,3,30,0.9557511879581791,10,28.8,grasp
20,8,8,3,30,1.0922870719522046,1,28.37,grasp
20,9,6,4,40,0.8656170245333781,31,28.6,grasp
25,5,5,12,136,0.9658310505164273,10,42.07,grasp
25,6,6,8,100,0.9233248261689366,4,41.1,grasp
25,7,5,11,134,0.9174712611333419,1,42.1,grasp
25,8,8,5,62,0.9941358952953789,1,41.93,grasp
25,9,5,10,123,0.8685889638065036,13,44.94,grasp
25,10,6,7,87,0.8633492151811812,15,56.83,grasp
30,6,6,14,193,1.0609849087318632,9,51.92,grasp
30,7,7,9,134,0.9557511879581793,4,53.41,grasp
30,8,8,7,105,0.959276905756868,1,53.36,grasp
30,9,8,6,90,0.8929770024819956,1,51.94,grasp
30,10,10,4,60,0.9617966939259757,3,53.39,grasp
35,7,7,12,209,0.9658310505164271,8,57.62,grasp
35,8,8,9,157,0.9362460616733184,3,57.05,grasp
35,9,9,8,140,0.9892765994667178,1,57.96,grasp
35,10,9,7,122,0.9250170162655512,7,57.77,grasp
40,8,8,13,258,1.0136652376533282,2,69.15,grasp
40,9,9,10,200,0.9771625842823164,2,67.95,grasp
40,10,10,8,160,0.9617966939259757,2,70.25,grasp
